1. YEAR,2. TRIFD,3. FRS ID,4. FACILITY NAME,5. STREET ADDRESS,6. CITY,7. COUNTY,8. ST,9. ZIP,10. BIA,11. TRIBE,12. LATITUDE,13. LONGITUDE,14. HORIZONTAL DATUM,15. PARENT CO NAME,16. PARENT CO DB NUM,17. STANDARD PARENT CO NAME,18. FOREIGN PARENT CO NAME,19. FOREIGN PARENT CO DB NUM,20. STANDARD FOREIGN PARENT CO NAME,21. FEDERAL FACILITY,22. INDUSTRY SECTOR CODE,23. INDUSTRY SECTOR,24. PRIMARY SIC,25. SIC 2,26. SIC 3,27. SIC 4,28. SIC 5,29. SIC 6,30. PRIMARY NAICS,31. NAICS 2,32. NAICS 3,33. NAICS 4,34. NAICS 5,35. NAICS 6,36. DOC_CTRL_NUM,37. CHEMICAL,38. ELEMENTAL METAL INCLUDED,39. TRI CHEMICAL/COMPOUND ID,40. CAS#,41. SRS ID,42. CLEAN AIR ACT CHEMICAL,43. CLASSIFICATION,44. METAL,45. METAL CATEGORY,46. CARCINOGEN,47. PBT,48. PFAS,49. FORM TYPE,50. UNIT OF MEASURE,51. 5.1 - FUGITIVE AIR,52. 5.2 - STACK AIR,53. 5.3 - WATER,54. 5.4 - UNDERGROUND,55. 5.4.1 - UNDERGROUND CL I,56. 5.4.2 - UNDERGROUND C II-V,57. 5.5.1 - LANDFILLS,58. 5.5.1A - RCRA C LANDFILL,59. 5.5.1B - OTHER LANDFILLS,60. 5.5.2 - LAND TREATMENT,61. 5.5.3 - SURFACE IMPNDMNT,62. 5.5.3A - RCRA SURFACE IM,63. 5.5.3B - OTHER SURFACE I,64. 5.5.4 - OTHER DISPOSAL,65. ON-SITE RELEASE TOTAL,66. 6.1 - POTW - TRNS RLSE,67. 6.1 - POTW - TRNS TRT,68. POTW - TOTAL TRANSFERS,69. 6.2 - M10,70. 6.2 - M41,71. 6.2 - M62,72. 6.2 - M40 METAL,73. 6.2 - M61 METAL,74. 6.2 - M71,75. 6.2 - M81,76. 6.2 - M82,77. 6.2 - M72,78. 6.2 - M63,79. 6.2 - M66,80. 6.2 - M67,81. 6.2 - M64,82. 6.2 - M65,83. 6.2 - M73,84. 6.2 - M79,85. 6.2 - M90,86. 6.2 - M94,87. 6.2 - M99,88. OFF-SITE RELEASE TOTAL,89. 6.2 - M20,90. 6.2 - M24,91. 6.2 - M26,92. 6.2 - M28,93. 6.2 - M93,94. OFF-SITE RECYCLED TOTAL,95. 6.2 - M56,96. 6.2 - M92,97. OFF-SITE ENERGY RECOVERY T,98. 6.2 - M40 NON-METAL,99. 6.2 - M50,100. 6.2 - M54,101. 6.2 - M61 NON-METAL,102. 6.2 - M69,103. 6.2 - M95,104. OFF-SITE TREATED TOTAL,105. 6.2 - UNCLASSIFIED,106. 6.2 - TOTAL TRANSFER,107. TOTAL RELEASES,108. 8.1 - RELEASES,109. 8.1A - ON-SITE CONTAINED,110. 8.1B - ON-SITE OTHER,111. 8.1C - OFF-SITE CONTAIN,112. 8.1D - OFF-SITE OTHER R,113. 8.2 - ENERGY RECOVER ON,114. 8.3 - ENERGY RECOVER OF,115. 8.4 - RECYCLING ON SITE,116. 8.5 - RECYCLING OFF SIT,117. 8.6 - TREATMENT ON SITE,118. 8.7 - TREATMENT OFF SITE,119. PRODUCTION WSTE (8.1-8.7),120. 8.8 - ONE-TIME RELEASE,121. PROD_RATIO_OR_ ACTIVITY,122. 8.9 - PRODUCTION RATIO
2024,02184CTGPT385QU,110000739657,CITGO PETROLEUM CORP,385 QUINCY AVE,BRAINTREE,NORFOLK,MA,02184,,,42.233208,-70.976072,,PDV HOLDING INC.,119272531,,PDVSA PETROLEOS S.A.,885354373,,NO,4247,Petroleum Bulk Terminals,,,,,,,424710,,,,,,1324222771418,Lead compounds,NO,N420,N420,650002,YES,PBT,YES,Metal complound categories,NO,YES,NO,R,Pounds,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,PRODUCTION,1.070
2024,01545SPRCN830BO,110000309050,SUPERCON INC,830 BOSTON TURNPIKE,SHREWSBURY,WORCESTER,MA,01545,,,42.278580,-71.687900,,NA,,NA,NA,,NA,NO,331,Primary Metals,,,,,,,331491,,,,,,1324222785192,Chromium,NO,0007440473,7440-47-3,150060,YES,TRI,YES,Elemental metals,NO,NO,NO,A,Pounds,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,0.000
2024,01013HRCLS1111G,110000307935,SOLENIS LLC,1111 GRATTAN ST,CHICOPEE,HAMPDEN,MA,01013,,,42.181944,-72.609167,,OLYMPUS WATER US HOLDING CORP,117016218,OLYMPUS WATER US HOLDING CORP,OLYMPUS WATER HOLDINGS I LP,NA,OLYMPUS WATER HOLDINGS I LP,NO,325,Chemicals,,,,,,,325211,325998,,,,,1324222953566,Formic acid,NO,0000064186,64-18-6,3830,NO,TRI,NO,Non_Metal,NO,NO,NO,A,Pounds,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,0.000
2024,01950NNSPC3MALC,110000310379,UNION SPECIALTIES INC,3 MALCOLM HOYT DR,NEWBURYPORT,ESSEX,MA,01950,,,42.796400,-70.890440,,NA,,NA,NA,,NA,NO,325,Chemicals,,,,,,,325510,,,,,,1324222676456,Triethylamine,NO,0000121448,121-44-8,31708,YES,TRI,NO,Non_Metal,NO,NO,NO,R,Pounds,5.000,87.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,92.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,92.000,0.000,0.000,92.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,92.000,,PRODUCTION,1.490
2024,02714TTLST256SA,110000795774,ACUSHNET CO BALL PLANT II,256 SAMUEL BARNET BLVD,NORTH DARTMOUTH,BRISTOL,MA,02747,,,41.719960,-70.969460,,NA,,,NA,,NA,NO,339,Miscellaneous Manufacturing,,,,,,,339920,,,,,,1324222787780,Zinc compounds,NO,N982,N982,649699,NO,TRI,YES,Metal complound categories,NO,NO,NO,R,Pounds,5.000,0.000,5.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,10.000,5.000,0.000,5.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,156426.000,0.000,0.000,0.000,0.000,6700.000,0.000,163131.000,0.000,0.000,250.000,0.000,0.000,250.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,163381.000,163141.000,0.000,0.000,10.000,156426.000,6705.000,0.000,0.000,277000.000,250.000,0.000,0.000,440391.000,,PRODUCTION,0.920
2024,02760LCHGR255JO,110000311957,METALOR TECHNOLOGIES USA CORP REFINING DIV,255 JOHN L DIETSCH BLVD,NORTH ATTLEBORO,BRISTOL,MA,02763,,,41.982778,-71.300556,,NA,,,METALOR TECHNOLOGIES INTERNATIONAL SA,480302660,METALOR TECHNOLOGIES INTERNATIONAL SA,NO,331,Primary Metals,,,,,,,331410,325180,331492,,,,1324222705410,Zinc compounds,NO,N982,N982,649699,NO,TRI,YES,Metal complound categories,NO,NO,NO,R,Pounds,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.266,0.000,2.266,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.266,0.000,48103.000,0.000,0.000,0.000,48103.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,48105.266,2.266,0.000,0.000,0.000,1.496,0.770,0.000,0.000,0.000,48103.000,0.000,0.000,48105.266,,PRODUCTION,1.070
2024,02215DVNCD474BR,110000881733,MATEP LLC,474 BROOKLINE AVE,BOSTON,SUFFOLK,MA,02215,,,42.336667,-71.108333,,LONGWOOD ENERGY PARTNERS LLC,NA,LONGWOOD ENERGY PARTNERS LLC,NA,,NA,NO,2211,Electric Utilities,,,,,,,221112,,,,,,1324222836999,Ammonia,NO,0007664417,7664-41-7,152389,NO,TRI,NO,Non_Metal,NO,NO,NO,R,Pounds,0.000,7975.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7975.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.840,12.840,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.840,7987.840,0.000,0.000,7975.000,0.000,12.840,0.000,0.000,0.000,0.000,0.000,0.000,7987.840,,PRODUCTION,0.990
2024,02021NTRPL330PI,110001948420,DYNASOL INC,330 PINE ST.,CANTON,NORFOLK,MA,02021,,,42.141180,-71.131370,,NA,,NA,NA,,NA,NO,325,Chemicals,,,,,,,325612,,,,,,1324223170770,Nonylphenol Ethoxylates,NO,N535,N535,1978074,NO,TRI,NO,Non_Metal,NO,NO,NO,R,Pounds,133.250,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,133.250,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,133.250,0.000,0.000,133.250,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,133.250,,ACTIVITY,0.970
2024,01069RTHBN241PA,110000495937,RATHBONE PRECISION METALS INC,1241 PARK ST,PALMER,HAMPDEN,MA,01069,,,42.150790,-72.313571,,NA,,NA,NA,,NA,NO,331,Primary Metals,,,,,,,331221,,,,,,1324222809319,Nitric acid,NO,0007697372,7697-37-2,152686,NO,TRI,NO,Non_Metal,NO,NO,NO,R,Pounds,0.000,66.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,66.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,66.000,0.000,0.000,66.000,0.000,0.000,0.000,0.000,0.000,0.000,9095.000,0.000,9161.000,,PRODUCTION,0.910
2024,02702PLRDC238SO,110001939779,ISP FREETOWN FINE CHEMICALS INC,238 S MAIN ST,ASSONET,BRISTOL,MA,02702,,,41.766111,-71.106944,,ASHLAND LLC,005003264,ASHLAND LLC,NA,,NA,NO,325,Chemicals,,,,,,,325199,,,,,,1324222796981,tert-Butyl alcohol,NO,0000075650,75-65-0,5751,NO,TRI,NO,Non_Metal,NO,NO,NO,R,Pounds,65.900,5.200,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,71.100,1.848,1.452,3.300,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.848,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,86372.000,86373.452,0.000,86375.300,72.948,0.000,0.000,71.100,0.033,1.815,0.000,0.000,0.000,0.000,0.000,86373.452,86446.400,,ACTIVITY,1.410
2024,01069RTHBN241PA,110000495937,RATHBONE PRECISION METALS INC,1241 PARK ST,PALMER,HAMPDEN,MA,01069,,,42.150790,-72.313571,,NA,,NA,NA,,NA,NO,331,Primary Metals,,,,,,,331221,,,,,,1324222809295,Lead,NO,0007439921,7439-92-1,149583,NO,PBT,YES,Elemental metals,YES,YES,NO,R,Pounds,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,10.000,0.000,0.000,0.000,10.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.000,1.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,10.000,0.000,0.000,11.000,,PRODUCTION,0.910
